RefNumber,Title,MainCategory,SubCategory,Year
1,Towards Integrated Glance To Restructuring in Combinatorial Optimization,cs,AI,2015
2,"Simple, Robust and Optimal Ranking from Pairwise Comparisons",cs,LG,2015
3,Cutting-off Redundant Repeating Generations for Neural Abstractive Summarization,cs,CL,2016
4,A Latent-class Model for Estimating Product-choice Probabilities from Clickstream Data,cs,AI,2016
5,Report: Dynamic Eye Movement Matching and Visualization Tool in Neuro Gesture,cs,NE,2017
6,Automated Conjecturing VII: The Graph Brain Project & Big Mathematics,cs,AI,2017
7,Attention-Based Capsule Networks with Dynamic Routing for Relation Extraction,cs,IR,2018
8,ADMM-NN: An Algorithm-Hardware Co-Design Framework of DNNs Using Alternating Direction Method of Multipliers,cs,LG,2018
9,Feature-Attention Graph Convolutional Networks for Noise Resilient Learning,cs,LG,2019
10,Uncertainty-Based Out-of-Distribution Classification in Deep Reinforcement Learning,cs,LG,2019
11,Out of Order: How Important Is The Sequential Order of Words in a Sentence in Natural Language Understanding Tasks?,cs,CL,2020
12,Fairness-Oriented User Scheduling for Bursty Downlink Transmission Using Multi-Agent Reinforcement Learning,cs,OS,2020
13,An Efficient Federated Distillation Learning System for Multi-task Time Series Classification,cs,LG,2021
14,Importance of Empirical Sample Complexity Analysis for Offline Reinforcement Learning,cs,LG,2021
15,"UBIWEAR: An end-to-end, data-driven framework for intelligent physical activity prediction to empower mHealth interventions",cs,AI,2022
16,Image Embedding for Denoising Generative Models,cs,CV,2022
17,Reviving the Context: Camera Trap Species Classification as Link Prediction on Multimodal Knowledge Graphs,cs,CV,2023
18,"A Survey of Personality, Persona, and Profile in Conversational Agents and Chatbots",cs,CL,2023
19,Fuzzy Model Identification and Self Learning with Smooth Compositions,eess,SY,2024
20,Re-evaluating Automatic LLM System Ranking for Alignment with Human Preference,cs,CL,2024
21,Simplicial Embeddings Improve Sample Efficiency in Actor-Critic Agents,cs,LG,2025
22,A Methodology for Assessing the Risk of Metric Failure in LLMs Within the Financial Domain,cs,AI,2025
